City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
59,Andros Town,24.7,-77.7667,305.13,66,0,7.23,BS,2022-08-11 19:41:15,clear sky
60,Vao,-22.6667,167.4833,293.16,57,14,7.58,NC,2022-08-11 19:41:15,few clouds
61,Kalemie,-5.9475,29.1947,295.59,52,100,0.57,CD,2022-08-11 19:41:16,overcast clouds
62,Ust-Kut,56.7938,105.7672,284.31,96,55,1.17,RU,2022-08-11 19:41:16,broken clouds
63,Ahipara,-35.1667,173.1667,282.77,77,27,2.96,NZ,2022-08-11 19:41:17,scattered clouds
64,Palmer,42.1584,-72.3287,304.05,46,75,3.09,US,2022-08-11 19:41:17,broken clouds
65,Sola,-13.8833,167.55,298.06,74,100,12.85,VU,2022-08-11 19:41:18,overcast clouds
66,Chato,-2.6378,31.7669,296.62,58,90,1.34,TZ,2022-08-11 19:41:18,overcast clouds
67,Eirunepe,-6.6603,-69.8736,305.45,40,31,1.09,BR,2022-08-11 19:41:18,scattered clouds
68,Liwale,-9.7667,37.9333,292.5,71,27,2.08,TZ,2022-08-11 19:41:19,scattered clouds
69,Arraial Do Cabo,-22.9661,-42.0278,294.13,78,40,11.32,BR,2022-08-11 19:34:13,scattered clouds
70,Khatanga,71.9667,102.5,279.88,66,100,2.8,RU,2022-08-11 19:38:35,overcast clouds
71,Svetlaya,46.5389,138.3297,290.12,87,8,2.62,RU,2022-08-11 19:41:20,clear sky
72,Riyadh,24.6877,46.7219,312.23,16,11,5.6,SA,2022-08-11 19:33:07,few clouds
73,Airai,-8.9266,125.4092,286.97,93,61,1.4,TL,2022-08-11 19:41:20,broken clouds
74,Billings,45.7833,-108.5007,306.64,31,40,3.09,US,2022-08-11 19:40:22,scattered clouds
75,Bend,44.0582,-121.3153,301.48,34,0,2.57,US,2022-08-11 19:36:26,clear sky
76,Mahebourg,-20.4081,57.7,293.31,64,20,6.17,MU,2022-08-11 19:35:19,few clouds
77,Calvia,39.5657,2.5062,302.41,74,0,1.7,ES,2022-08-11 19:41:21,clear sky
78,Kosterevo,55.9299,39.6144,287.87,67,5,1.27,RU,2022-08-11 19:41:22,clear sky
79,Hasaki,35.7333,140.8333,300.53,86,17,11.12,JP,2022-08-11 19:41:22,few clouds
80,Ponta Do Sol,32.6667,-17.1,296.5,71,70,1.73,PT,2022-08-11 19:41:23,broken clouds
81,Olafsvik,64.8945,-23.7142,283.62,78,10,5.08,IS,2022-08-11 19:41:23,clear sky
82,Statesboro,32.4488,-81.7832,305.04,65,75,12.86,US,2022-08-11 19:41:23,light rain
83,Leningradskiy,69.3833,178.4167,281.69,80,97,1.03,RU,2022-08-11 19:41:24,overcast clouds
84,Cherskiy,68.75,161.3,288.99,61,95,2.89,RU,2022-08-11 19:36:12,overcast clouds
85,Long,18.0761,99.8326,299.93,99,100,1.4,TH,2022-08-11 19:41:25,moderate rain
86,Rio Cuarto,-33.1307,-64.3499,293.02,30,0,0.0,AR,2022-08-11 19:41:25,clear sky
87,Bengkulu,-3.8004,102.2655,297.78,91,46,1.56,ID,2022-08-11 19:31:08,scattered clouds
88,Yarmouth,41.7057,-70.2286,296.46,93,100,2.57,US,2022-08-11 19:41:25,overcast clouds
89,Mandalgovi,45.7625,106.2708,286.27,89,100,4.72,MN,2022-08-11 19:33:02,overcast clouds
90,Rosetta,31.4044,30.4164,298.83,68,0,3.4,EG,2022-08-11 19:41:26,clear sky
91,Buraydah,26.326,43.975,311.4,17,14,5.39,SA,2022-08-11 19:41:26,few clouds
92,Severo-Kurilsk,50.6789,156.125,286.48,96,95,5.9,RU,2022-08-11 19:36:09,overcast clouds
93,Valley City,46.9233,-98.0032,295.44,64,20,3.09,US,2022-08-11 19:41:27,few clouds
94,Lieksa,63.3167,30.0167,288.89,79,63,4.62,FI,2022-08-11 19:42:27,broken clouds
95,Tasiilaq,65.6145,-37.6368,277.24,82,29,1.18,GL,2022-08-11 19:35:28,scattered clouds
96,Atuona,-9.8,-139.0333,298.06,74,78,12.19,PF,2022-08-11 19:29:34,broken clouds
97,Georgetown,5.4112,100.3354,301.42,86,20,1.03,MY,2022-08-11 19:41:49,few clouds
98,Babstovo,48.1167,132.4833,287.24,91,79,1.35,RU,2022-08-11 19:42:28,broken clouds
99,Jamestown,42.097,-79.2353,297.92,45,75,4.63,US,2022-08-11 19:33:44,broken clouds
100,Vaini,-21.2,-175.2,296.24,83,40,5.14,TO,2022-08-11 19:33:43,scattered clouds
101,Pisco,-13.7,-76.2167,290.38,82,40,3.6,PE,2022-08-11 19:40:14,mist
102,Sint-Laureins,51.242,3.5244,298.14,59,59,3.73,BE,2022-08-11 19:42:29,broken clouds
103,Kavieng,-2.5744,150.7967,300.44,78,96,5.43,PG,2022-08-11 19:33:40,overcast clouds
