City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
148,Kudat,MY,75.29,few clouds,6.8837,116.8477,Dream Garden Hotel
150,Cidreira,BR,74.86,clear sky,-30.1811,-50.2056,Hotel Castelo
151,Vila Franca Do Campo,PT,63.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
158,Kapaa,US,73.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
162,Lakes Entrance,AU,59.16,light rain,-37.8811,147.981,The Esplanade Resort & Spa
165,Khandbari,NP,72.57,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
166,Kieta,PG,78.96,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
167,Ranong,TH,78.1,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
169,Santa Isabel,BR,77.76,scattered clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
172,Aswan,EG,67.69,clear sky,24.0934,32.907,Nuba Nile
173,Tura,IN,76.15,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
175,Coquimbo,CL,65.93,clear sky,-29.9533,-71.3436,Hotel San Juan
181,San Patricio,US,78.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
185,Ishigaki,JP,69.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
188,Hobyo,SO,79.38,clear sky,5.3505,48.5268,Iftin hotel hobyo
190,Chalchihuites,MX,70.09,broken clouds,23.4833,-103.8833,Hotel chalchihuites
199,Impfondo,CG,75.67,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
202,Caravelas,BR,78.22,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
203,Sakakah,SA,65.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
204,Ulladulla,AU,68.9,overcast clouds,-35.35,150.4667,Sandpiper Motel
208,Praia Da Vitoria,PT,62.85,few clouds,38.7333,-27.0667,Hotel Branco I
212,Guerrero Negro,MX,68.47,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
214,Inverell,AU,60.15,few clouds,-29.7833,151.1167,Sapphire City Motor Inn
215,Bay Saint Louis,US,79.14,overcast clouds,30.3088,-89.33,The Abode Guest House
218,Bereda,ES,56.57,overcast clouds,43.2686,-7.5406,Pazo de Verdes
220,San Jose,US,76.21,few clouds,37.3394,-121.895,The Westin San Jose
224,Atambua,ID,73.44,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
228,Paso De Los Toros,UY,68.02,moderate rain,-32.8167,-56.5167,Complejo Isabelino
236,Nishihara,JP,65.48,overcast clouds,26.1842,127.7558,Minshuku Agaihama
237,Isangel,VU,77.74,light rain,-19.55,169.2667,Tanna Lodge
238,Angoche,MZ,76.86,scattered clouds,-16.2325,39.9086,Guest House HESADA
240,Luzhou,CN,57.81,overcast clouds,28.8724,105.4405,Shijichun Hotel
244,Pandan,PH,79.68,broken clouds,14.0453,124.1694,Bonifacio Lodge
248,Vincennes,FR,62.87,clear sky,48.85,2.4333,Aparthotel Adagio Paris Vincennes
249,Khatima,IN,74.21,clear sky,28.9167,79.9667,Hotel Holiday
251,Salalah,OM,74.88,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
254,Bambanglipuro,ID,77.11,overcast clouds,-7.95,110.2833,Puri Brata
257,Djambala,CG,70,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
259,Coulommiers,FR,62.11,clear sky,48.8145,3.085,Hôtel Première Classe Coulommiers
263,Rumlang,CH,58.77,clear sky,47.4504,8.5299,Mövenpick Hotel Zürich Airport
269,Cayenne,GF,75.24,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
271,Kaitangata,NZ,53.71,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
273,Anito,PH,78.21,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
274,Phan Thiet,VN,77.5,broken clouds,10.9333,108.1,Hotel Saigon-PT
282,Ancud,CL,55.22,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
283,Ha Tinh,VN,77.47,scattered clouds,18.3333,105.9,Phú Quý
289,Ginir,ET,67.86,broken clouds,7.1333,40.7,Sura Dare Village
292,Waingapu,ID,78.4,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
293,Vila Velha,BR,78.94,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
296,Bangkal,PH,77.74,broken clouds,6.0667,121.0667,JB's Resort
298,Russell,US,76.91,clear sky,32.3502,-85.1999,Macs
301,Sigli,ID,79.99,light rain,5.3848,95.9609,Losmen Dua Mali
306,Te Anau,NZ,54.01,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
307,Tuatapere,NZ,55.08,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
